0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,0
0,12
1,13
2,14
3,15
4,16
5,17
6,18
7,19
8,20
9,21
10,22
11,23
0,24
1,25
2,26
3,27
4,28
5,29
6,30
7,31
8,32
9,33
10,34
11,35
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,63
63,64
64,21
21,65
65,22
22,23
23,12
12,36
13,37
14,38
15,39
16,40
17,41
18,42
19,43
20,44
21,45
22,46
23,47
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,24
24,48
25,49
26,50
27,51
28,52
29,53
30,54
31,55
32,56
33,57
34,58
35,59
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,36
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,48
60,36
60,37
60,38
60,39
60,40
60,41
60,42
60,43
60,44
60,45
60,46
60,47
61,48
61,49
61,50
61,51
61,52
61,53
61,54
61,55
61,56
61,57
61,58
8,62
9,62
62,64
20,8
63,8
64,9
65,9
65,10
66,67
67,68
68,69
69,70
70,71
66,20
67,63
68,64
69,21
70,65
71,65
71,22
72,73
73,74
74,75
75,22
72,66
73,67
74,68
74,69
75,70
75,71
72,43
72,44
73,44
74,45
75,45
75,46
