MSY|30.020687|-90.02359|2016-07-04T23:33:45Z|Rain|18.9|1011.5|62
SFO|37.75768|-122.50764|2016-07-04T21:25:45Z|Sunny|12.0|1025.9|66
BOS|42.31329|-71.61747|2016-07-05T00:49:45Z|Sunny|12.0|1017.3|62
MEX|19.411406|-99.75886|2016-07-04T22:57:45Z|Sunny|23.0|1013.5|45
DFW|32.82035|-97.011536|2016-07-04T23:05:45Z|Sunny|19.0|1015.8|54
JAX|30.344692|-82.000656|2016-07-05T00:05:45Z|Sunny|19.0|1014.9|50
YWG|49.853737|-97.292305|2016-07-04T23:05:45Z|Sunny|6.1|1019.3|65
YYC|51.012783|-114.35434|2016-07-04T21:57:45Z|Sunny|6.1|1032.4|61
YVR|49.256107|-123.193954|2016-07-04T21:21:45Z|Sunny|6.1|1018.1|65
YQB|46.85792|-71.48616|2016-07-05T00:49:45Z|Sunny|6.1|1013.3|70
PHX|33.6051|-112.40524|2016-07-04T22:05:45Z|Rain|19.0|1012.4|54
SLC|40.776524|-112.06057|2016-07-04T22:05:45Z|Sunny|12.0|1024.5|66
ORD|41.833393|-88.012344|2016-07-04T23:41:45Z|Sunny|12.0|1016.9|50
DTW|42.352627|-83.23929|2016-07-05T00:01:45Z|Sunny|12.0|1020.7|54
LAX|34.02018|-118.691925|2016-07-04T21:41:45Z|Rain|18.9|1010.0|58
DEN|39.764256|-104.99519|2016-07-04T22:37:45Z|Rain|12.0|1001.2|82
MSY|30.020687|-90.02359|2016-07-11T23:33:45Z|Sunny|17.8|1023.1|56
SFO|37.75768|-122.50764|2016-07-11T21:25:45Z|Rain|11.0|1002.8|73
BOS|42.31329|-71.61747|2016-07-12T00:49:45Z|Sunny|11.1|1021.0|55
MEX|19.411406|-99.75886|2016-07-11T22:57:45Z|Sunny|23.0|1013.4|42
JAX|30.344692|-82.000656|2016-07-12T00:05:45Z|Rain|18.0|1010.9|63
DFW|32.82035|-97.011536|2016-07-11T23:05:45Z|Sunny|18.0|1022.4|45
YYC|51.012783|-114.35434|2016-07-11T21:57:45Z|Sunny|5.1|1017.3|67
YWG|49.853737|-97.292305|2016-07-11T23:05:45Z|Rain|5.2|1000.9|83
YQB|46.85792|-71.48616|2016-07-12T00:49:45Z|Sunny|5.3|1016.4|83
YVR|49.256107|-123.193954|2016-07-11T21:21:45Z|Sunny|5.2|1024.4|67
PHX|33.6051|-112.40524|2016-07-11T22:05:45Z|Sunny|18.0|1019.1|42
DTW|42.352627|-83.23929|2016-07-12T00:01:45Z|Sunny|11.0|1016.8|52
SLC|40.776524|-112.06057|2016-07-11T22:05:45Z|Sunny|11.0|1029.3|60
LAX|34.02018|-118.691925|2016-07-11T21:41:45Z|Rain|17.8|1012.2|64
ORD|41.833393|-88.012344|2016-07-11T23:41:45Z|Sunny|11.0|1017.5|52
DEN|39.764256|-104.99519|2016-07-11T22:37:45Z|Sunny|11.0|1021.9|69
SFO|37.75768|-122.50764|2016-07-18T21:25:45Z|Sunny|10.0|1014.4|71
MSY|30.020687|-90.02359|2016-07-18T23:33:45Z|Sunny|16.7|1017.8|50
MEX|19.411406|-99.75886|2016-07-18T22:57:45Z|Sunny|23.0|1029.7|39
BOS|42.31329|-71.61747|2016-07-19T00:49:45Z|Rain|10.1|990.9|93
DFW|32.82035|-97.011536|2016-07-18T23:05:45Z|Sunny|17.1|1021.2|43
JAX|30.344692|-82.000656|2016-07-19T00:05:45Z|Sunny|17.0|1025.9|43
YWG|49.853737|-97.292305|2016-07-18T23:05:45Z|Sunny|4.3|1021.7|64
YYC|51.012783|-114.35434|2016-07-18T21:57:45Z|Sunny|4.2|1024.8|80
YVR|49.256107|-123.193954|2016-07-18T21:21:45Z|Sunny|4.2|1034.6|64
YQB|46.85792|-71.48616|2016-07-19T00:49:45Z|Sunny|4.4|1021.8|69
DTW|42.352627|-83.23929|2016-07-19T00:01:45Z|Rain|10.0|1008.2|76
PHX|33.6051|-112.40524|2016-07-18T22:05:45Z|Rain|17.0|1010.2|65
LAX|34.02018|-118.691925|2016-07-18T21:41:45Z|Rain|16.8|997.1|57
SLC|40.776524|-112.06057|2016-07-18T22:05:45Z|Rain|10.0|1012.2|71
DEN|39.764256|-104.99519|2016-07-18T22:37:45Z|Rain|10.0|1006.0|87
ORD|41.833393|-88.012344|2016-07-18T23:41:45Z|Rain|10.0|998.9|93
SFO|37.75768|-122.50764|2016-07-25T21:25:46Z|Sunny|9.1|1018.4|59
MEX|19.411406|-99.75886|2016-07-25T22:57:46Z|Rain|23.0|1009.3|51
DFW|32.82035|-97.011536|2016-07-25T23:05:46Z|Sunny|16.1|1018.6|51
YWG|49.853737|-97.292305|2016-07-25T23:05:46Z|Sunny|3.3|1020.1|82
YVR|49.256107|-123.193954|2016-07-25T21:21:46Z|Sunny|3.3|1019.1|82
DTW|42.352627|-83.23929|2016-07-26T00:01:46Z|Rain|9.1|991.7|84
MSY|30.020687|-90.02359|2016-07-25T23:33:46Z|Sunny|15.6|1018.3|60
LAX|34.02018|-118.691925|2016-07-25T21:41:46Z|Rain|15.8|1008.0|68
DEN|39.764256|-104.99519|2016-07-25T22:37:46Z|Rain|9.1|1006.5|90
BOS|42.31329|-71.61747|2016-07-26T00:49:46Z|Rain|9.2|1006.8|96
JAX|30.344692|-82.000656|2016-07-26T00:05:46Z|Sunny|16.0|1016.9|55
YYC|51.012783|-114.35434|2016-07-25T21:57:46Z|Sunny|3.2|1022.7|77
YQB|46.85792|-71.48616|2016-07-26T00:49:46Z|Sunny|3.5|1015.4|88
